page,title,url
https://my.ntu.edu.tw/actregister/actionList.aspx,心理季講座《春‧人際軟實力》114-2心輔中心心理健康促進講座,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261324_02
https://my.ntu.edu.tw/actregister/actionList.aspx,114-2 外語教學暨資源中心 「趣玩桌遊」(Board Game Fun),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265161_05
https://my.ntu.edu.tw/actregister/actionList.aspx,🎖️CBE x Fulbright 英語溝通表達俱樂部（Academic and Career English Club）工作坊🎖️,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2026M100_01
https://my.ntu.edu.tw/actregister/actionList.aspx,【活動】情境英語口說工作坊 Real-Life Scenarios in English Speaking: Workshop and Practicum,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261911_01
https://my.ntu.edu.tw/actregister/actionList.aspx,▟ ▛ 2026臺灣引路人計畫 - 企業說明會 ▜ ▙,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261304_04
https://my.ntu.edu.tw/actregister/actionList.aspx,外國語文學系學生圓桌論壇,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265102_01
https://my.ntu.edu.tw/actregister/actionList.aspx,【CARDO】114-2 職涯講堂,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265791_03
https://my.ntu.edu.tw/actregister/actionList.aspx,【CARDO】114-2 TIP 企業實習計畫說明會,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265791_02
https://my.ntu.edu.tw/actregister/actionList.aspx,英語口說強化工作坊,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265161_02
https://my.ntu.edu.tw/actregister/actionList.aspx,【VISION 2026臺大校園徵才】系列公司說明會,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261304_01
https://my.ntu.edu.tw/actregister/actionList.aspx,圖書館HELP講堂「從容學習，游刃有餘」(114學年度下學期),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261923_01
https://my.ntu.edu.tw/actregister/actionList.aspx,NTUHC-2026保健中心增肌減脂班,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261325_02
https://my.ntu.edu.tw/actregister/actionList.aspx,Chatterbox Cafe 話匣子英語口說練習坊,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2025M100_04
https://my.ntu.edu.tw/actregister/actionList.aspx,實驗動物資源中心使用者教育訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2017K800_01
https://my.ntu.edu.tw/actregister/actionList.aspx,圖資系研究生交流工作坊(限圖資系所師生參加),https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20115106_03
https://my.ntu.edu.tw/actregister/actionList.aspx,圖資系系主任時間（限本系所學生參加）,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20115106_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【CARDO】114-2 職業工坊,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265791_04
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,114學年度校園馬拉松賽,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20253704_24
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【VISION 2026臺大校園徵才】 公司參訪系列,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261304_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【線上講座】學習規劃幕後公式揭密｜3/26 與臺大一起解析學習規劃制度,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261232_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,2026職業衛生講座(三)：婦科疾病安心指南：職場及生活預防,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20262400_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,NTUHC-115/3/24、25 基本救命術BLS訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261325_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,【共同教育中心 - 通識專題講座】加拿大皇家學會院士 Prof. Imre Szeman -「Why Do the Energy Humanities Matter Now?」,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20263700_03
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,臺大四防齊心系列—防詐、反霸、反毒（交安已另擇日舉辦）法治教育研習（供午餐）,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261303_02
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,"文學院【共作文明新趨勢專題講座】Green Dreams, or, Why Technology Can't Save the World",https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265100_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,百瑞精鼎(Parexel) 2026職涯發展徵才說明會,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2026C100_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,⚖️2026 研究生精進計畫⚖️,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261211_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,僑陸生輔導實務交流工作坊 Overseas Compatriot and Mainland Chinese Student Counseling Practice Exchange Workshop,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261305_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,「115年度第一次學生交通安全宣導」(暨鐵馬週自行車『免費』健檢活動)《宣導當日提供限量餐盒》,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261303_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,「資通系統與物聯網設備及大陸廠牌資通訊產品盤點作業說明」教育訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20262201_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,NTUHC-網紅世代 X 性教育《網路說的都是真的嗎？破解短影音時代的大學生性教育迷思》,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20261325_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,115年社交工程演練教育訓練,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20262204_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,外教中心 電影導讀與欣賞 🎬,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=20265161_01
https://my.ntu.edu.tw/actregister/expiredActionList.aspx?year=2026,臺大文康會(職工分會) 健康知性講座,https://my.ntu.edu.tw/actregister/sessionList.aspx?actID=2026E500_01
